Date (dd-mmm-yyyy), Weighted Phase Estimate, Weighted Error, Heart Rate Phase Estimate, Heart Rate Phase Error, Model Phase Estimate, Model Phase Error, Raw Model Phase Estimate, Raw Model Phase Error 
11-Sep-2020, 07:13, 6.296532, 03:51, 2.502469, 13:22, 5.175133, 13:22, 5.169393
12-Sep-2020, 04:39, 4.828775, 02:29, 1.297136, 00:00, 5.997101, 11:44, 5.326907
13-Sep-2020, 09:22, 6.229158, 01:54, 0.370134, 06:50, 8.847629, 00:00, 6.404521
14-Sep-2020, 08:02, 4.199393, 01:35, 1.342253, 16:31, 4.977459, 03:19, 5.567838
15-Sep-2020, 03:24, 3.208500, 02:31, 0.993142, 19:45, 5.997816, 03:58, 5.745113
16-Sep-2020, 03:14, 3.300353, 02:07, 0.712665, 19:21, 5.661472, 03:40, 5.560440
17-Sep-2020, 04:18, 4.926698, 03:20, 1.829337, 19:07, 5.952176, 04:01, 5.129008
18-Sep-2020, 04:26, 3.777167, 02:33, 1.609086, 00:00, 5.688109, 04:44, 5.452597
19-Sep-2020, 02:52, 3.082498, 01:03, 0.697027, 00:00, 4.264866, 04:15, 5.706138
20-Sep-2020, 02:47, 2.604030, 00:25, 0.798834, 00:13, 3.323981, 00:00, 6.185341
21-Sep-2020, 02:23, 2.618597, 02:01, 1.426408, 00:49, 3.007045, 01:52, 5.706300
22-Sep-2020, 02:51, 2.844300, 03:21, 1.242065, 01:07, 3.407642, 00:00, 5.587537
23-Sep-2020, 03:21, 2.690354, 03:01, 0.678075, 01:26, 3.419347, 00:00, 5.612610
24-Sep-2020, 03:26, 2.655556, 02:57, 1.248051, 01:35, 3.339882, 01:27, 5.353286
25-Sep-2020, 03:40, 3.037718, 04:13, 1.361842, 01:44, 3.712286, 01:13, 5.352140
26-Sep-2020, 04:32, 2.928252, 01:45, 1.773181, 02:03, 4.201329, 00:00, 5.585580
27-Sep-2020, 04:14, 2.198488, 21:47, 1.194739, 01:51, 3.548233, 00:00, 5.160762
28-Sep-2020, 03:31, 2.090308, 23:45, 2.917166, 02:00, 2.893639, 01:14, 5.032302
29-Sep-2020, 03:50, 2.155544, 03:34, 1.551289, 02:24, 2.930986, 01:45, 5.042745
30-Sep-2020, 04:20, 2.262642, 01:45, 0.841927, 02:24, 3.158619, 01:58, 4.864338
01-Oct-2020, 03:59, 2.177641, 02:47, 0.980540, 02:28, 3.094053, 02:07, 4.730739
02-Oct-2020, 03:44, 2.393414, 05:58, 2.633585, 02:43, 2.941988, 02:39, 4.485254
03-Oct-2020, 03:13, 2.442261, 00:03, 3.633496, 02:46, 3.502414, 02:46, 4.326437
04-Oct-2020, 03:50, 2.559396, 00:41, 1.183482, 02:48, 3.415259, 02:43, 3.890335
05-Oct-2020, 04:37, 2.087211, 02:05, 0.732272, 02:49, 3.136405, 02:45, 3.473306
06-Oct-2020, 04:16, 1.956255, 01:52, 0.948982, 02:45, 2.868143, 02:44, 3.447628
07-Oct-2020, 04:16, 1.977401, 01:27, 1.343419, 02:55, 2.900997, 03:03, 3.219165
08-Oct-2020, 03:54, 2.063949, 02:20, 2.166830, 02:56, 2.916658, 03:05, 3.222948
09-Oct-2020, 03:34, 2.454381, 06:56, 2.082744, 02:54, 3.102417, 03:17, 3.337057
10-Oct-2020, 03:02, 3.287850, 07:41, 2.595932, 02:39, 3.467769, 03:13, 3.332124
11-Oct-2020, 03:26, 2.808056, 22:59, 1.880124, 02:13, 3.903750, 03:07, 3.281112
12-Oct-2020, 04:14, 2.289273, 02:21, 2.032985, 02:23, 3.080870, 03:14, 3.168233
13-Oct-2020, 04:10, 2.156867, 02:39, 1.818658, 02:34, 3.091731, 03:23, 3.276738
14-Oct-2020, 04:08, 2.059990, 02:45, 0.667958, 02:34, 2.924203, 03:35, 3.293326
15-Oct-2020, 04:00, 2.064665, 03:48, 1.044502, 02:38, 2.894390, 03:42, 3.392840
16-Oct-2020, 03:08, 2.576414, 04:46, 1.477935, 02:47, 2.847374, 03:56, 3.443828
