Date (dd-mmm-yyyy), Mean Mesor, Uncertainty of Mesor, Mean Amp., Uncertainty of Amp., Mean Phase, Uncertainty of Phase (hr), Mean HRpS, Uncertainty of HRpS, Mean Autocorr., Uncertainty of Autocorr., Number of Data Points, 2 Day Step Count, Existence of Time Zone Information 
11-Sep-2020, 70.181480, 1.163318, 3.096987, 1.429619, 03:50, 2.508962, 0.285934, 0.026700, 0.736004, 0.034280, 407, 13143, 1.000000
12-Sep-2020, 74.963915, 2.301379, 9.442574, 3.383636, 02:29, 1.294299, 0.298268, 0.033105, 0.818154, 0.029623, 393, 20904, 1.000000
13-Sep-2020, 78.929316, 1.554128, 15.969158, 2.422740, 01:54, 0.370787, 0.245837, 0.039381, 0.687000, 0.037798, 381, 25376, 1.000000
14-Sep-2020, 74.465768, 2.702789, 11.042923, 3.994937, 01:36, 1.339436, 0.263772, 0.039615, 0.843394, 0.028219, 398, 17432, 1.000000
15-Sep-2020, 68.565619, 1.119020, 5.672887, 1.645837, 02:31, 0.988246, 0.406628, 0.036940, 0.703704, 0.036697, 411, 13095, 1.000000
16-Sep-2020, 69.326805, 0.808345, 5.060713, 1.207987, 02:07, 0.715971, 0.373591, 0.030820, 0.586632, 0.040441, 405, 15393, 1.000000
17-Sep-2020, 71.866720, 0.926593, 3.054376, 1.226379, 03:20, 1.840598, 0.316506, 0.035499, 0.634618, 0.038660, 408, 13110, 1.000000
18-Sep-2020, 72.966851, 0.918024, 3.363937, 1.289489, 02:34, 1.608775, 0.269195, 0.036750, 0.659610, 0.041359, 354, 12915, 1.000000
19-Sep-2020, 76.421720, 1.438949, 9.579054, 2.181320, 01:02, 0.696612, 0.245167, 0.034010, 0.697030, 0.040794, 333, 23196, 1.000000
20-Sep-2020, 76.970858, 1.666423, 9.121502, 2.350212, 00:25, 0.798113, 0.264675, 0.041463, 0.641115, 0.041731, 358, 25893, 1.000000
21-Sep-2020, 70.383346, 1.486845, 5.474443, 2.105567, 02:00, 1.424019, 0.323770, 0.042806, 0.689970, 0.039406, 364, 15923, 1.000000
22-Sep-2020, 71.996651, 1.681320, 7.474017, 2.265578, 03:22, 1.246156, 0.251646, 0.031898, 0.795927, 0.031351, 397, 14401, 1.000000
23-Sep-2020, 76.771639, 1.218618, 8.742456, 1.767424, 03:01, 0.680252, 0.292434, 0.027220, 0.734679, 0.033991, 415, 17652, 1.000000
24-Sep-2020, 77.027767, 1.240191, 5.515661, 1.789536, 02:57, 1.250232, 0.285411, 0.025573, 0.767984, 0.031578, 426, 14659, 1.000000
25-Sep-2020, 75.384890, 0.926779, 3.890672, 1.205238, 04:14, 1.360916, 0.266909, 0.035121, 0.639888, 0.038416, 412, 10885, 1.000000
26-Sep-2020, 78.503878, 1.361810, 4.454753, 1.893966, 01:45, 1.783671, 0.277699, 0.033837, 0.677573, 0.038462, 384, 18606, 1.000000
27-Sep-2020, 81.322945, 1.494530, 6.808824, 1.562565, 21:47, 1.200607, 0.253637, 0.032420, 0.643643, 0.040722, 357, 23321, 1.000000
28-Sep-2020, 75.315402, 1.908985, 4.418376, 2.265829, 23:44, 2.904877, 0.290847, 0.035722, 0.772412, 0.033131, 379, 15555, 1.000000
29-Sep-2020, 72.092643, 1.187641, 4.274437, 1.630626, 03:34, 1.555992, 0.367885, 0.035833, 0.683700, 0.038415, 372, 13298, 1.000000
30-Sep-2020, 73.861541, 1.395926, 7.458964, 2.050856, 01:45, 0.844432, 0.244045, 0.033334, 0.691179, 0.037027, 360, 17174, 1.000000
01-Oct-2020, 74.388954, 1.490218, 7.640838, 2.139365, 02:46, 0.978495, 0.164354, 0.032973, 0.752888, 0.032364, 396, 14496, 1.000000
02-Oct-2020, 75.475058, 1.248229, 3.202589, 1.347188, 05:59, 2.620063, 0.234596, 0.037156, 0.739169, 0.034228, 413, 10431, 1.000000
03-Oct-2020, 79.170524, 1.737868, 3.460559, 1.862545, 00:02, 3.615195, 0.200382, 0.031390, 0.782219, 0.032932, 396, 20511, 1.000000
04-Oct-2020, 78.491696, 1.413342, 5.800977, 1.968247, 00:42, 1.181482, 0.259302, 0.031096, 0.664570, 0.040331, 364, 24803, 1.000000
05-Oct-2020, 75.186323, 1.060614, 5.808901, 1.568200, 02:04, 0.732412, 0.419133, 0.036920, 0.566908, 0.043075, 372, 16001, 1.000000
06-Oct-2020, 73.468042, 1.133979, 5.471328, 1.712586, 01:52, 0.949299, 0.409717, 0.031386, 0.661860, 0.038739, 383, 14547, 1.000000
07-Oct-2020, 74.518829, 1.633739, 6.436625, 2.426800, 01:27, 1.356850, 0.344929, 0.026733, 0.779107, 0.032447, 388, 20312, 1.000000
08-Oct-2020, 74.814687, 1.955586, 5.625804, 2.586591, 02:20, 2.165521, 0.297839, 0.031257, 0.777369, 0.032693, 377, 18204, 1.000000
09-Oct-2020, 75.677657, 1.857514, 5.367518, 1.767603, 06:57, 2.074768, 0.218775, 0.032553, 0.757314, 0.034568, 366, 12356, 1.000000
10-Oct-2020, 78.440432, 3.478527, 8.091834, 3.622819, 07:41, 2.579669, 0.147825, 0.042972, 0.818235, 0.042841, 184, 17709, 1.000000
11-Oct-2020, 87.262043, 5.997556, 13.894349, 4.117010, 22:59, 1.890191, 0.158859, 0.049161, 0.644476, 0.073612, 118, 22514, 1.000000
12-Oct-2020, 72.494000, 5.477689, 13.699697, 6.851606, 02:22, 2.014903, 0.155173, 0.034605, 0.858549, 0.029913, 282, 16218, 1.000000
13-Oct-2020, 73.627920, 3.574851, 10.884461, 4.941151, 02:39, 1.815150, 0.080577, 0.031441, 0.861276, 0.026873, 353, 14263, 1.000000
14-Oct-2020, 75.111064, 3.014018, 19.121892, 4.535959, 02:45, 0.674121, 0.059681, 0.023644, 0.855233, 0.027306, 368, 20622, 1.000000
15-Oct-2020, 74.288832, 2.332519, 11.500202, 3.177395, 03:48, 1.044628, 0.117161, 0.026970, 0.825300, 0.029726, 375, 15235, 1.000000
16-Oct-2020, 72.529196, 1.082932, 4.155797, 1.311348, 04:46, 1.485637, 0.247512, 0.037439, 0.666672, 0.038916, 379, 7870, 1.000000
17-Oct-2020, 79.290678, 3.356047, 7.898690, 4.032128, 00:28, 2.832159, 0.155830, 0.034215, 0.863694, 0.026589, 377, 18019, 1.000000
18-Oct-2020, 82.491057, 1.713668, 11.070587, 2.468536, 00:42, 0.700840, 0.172275, 0.029933, 0.693825, 0.038331, 369, 26935, 1.000000
19-Oct-2020, 75.727456, 2.085618, 7.906736, 2.931472, 00:38, 1.255141, 0.214977, 0.030902, 0.727049, 0.037348, 345, 16772, 1.000000
