Date (dd-mmm-yyyy), CRCO-sleep_misalignment, CRPO-sleep_misalignment, Internal_misalignment 
11-Sep-2020, 4.008334, 1.641667, 1.645690
12-Sep-2020, 1.441667, 0.275000, 0.580836
13-Sep-2020, 6.991667, 0.525000, 0.444564
14-Sep-2020, 5.800000, 0.350000, 2.022451
15-Sep-2020, 0.991667, 1.108334, 1.294916
16-Sep-2020, 0.908333, 0.791667, 1.371846
17-Sep-2020, 1.716667, 1.750000, 1.548453
18-Sep-2020, 1.300000, 0.416667, 0.624109
19-Sep-2020, 0.525000, 1.341667, 0.480672
20-Sep-2020, 0.791666, 0.575000, 0.361013
21-Sep-2020, 0.633333, 1.266667, 0.731615
22-Sep-2020, 0.758333, 2.258333, 0.948848
23-Sep-2020, 0.933333, 1.600000, 0.755505
24-Sep-2020, 0.650000, 1.166667, 0.708608
25-Sep-2020, 0.708334, 2.258334, 0.938326
26-Sep-2020, NaN, NaN, NaN
27-Sep-2020, 2.600000, 2.850000, 0.864280
28-Sep-2020, 0.800000, 1.966667, 0.431982
29-Sep-2020, 1.158333, 1.891667, 0.739228
30-Sep-2020, 2.308333, 0.725000, 0.110808
01-Oct-2020, 1.833333, 1.633333, 0.425548
02-Oct-2020, 0.125000, 3.358334, 1.444601
03-Oct-2020, 0.050000, 2.116667, 0.490138
04-Oct-2020, 1.208333, 0.941667, 0.326964
05-Oct-2020, 1.983334, 0.450000, 0.085023
06-Oct-2020, 1.525000, 0.125000, 0.040677
07-Oct-2020, 1.983334, 0.166667, 0.160864
08-Oct-2020, 2.516667, 1.950000, 0.137143
09-Oct-2020, NaN, NaN, NaN
10-Oct-2020, NaN, NaN, NaN
11-Oct-2020, NaN, NaN, NaN
12-Oct-2020, 1.958333, 1.075000, 0.313764
13-Oct-2020, 1.191667, 0.675000, 0.350397
14-Oct-2020, 2.008333, 1.625000, 0.404669
15-Oct-2020, 1.066667, 1.866667, 0.748575
16-Oct-2020, 0.241666, 2.875000, 1.047749
17-Oct-2020, 0.300000, 2.366667, 0.399678
18-Oct-2020, 0.858333, 1.425000, 0.346544
19-Oct-2020, 1.141666, 1.258334, 0.379534
20-Oct-2020, NaN, NaN, NaN
21-Oct-2020, 2.116667, 3.833333, 0.612828
22-Oct-2020, 1.191667, 2.625000, 0.547187
23-Oct-2020, 1.000000, 0.683334, 0.142266
24-Oct-2020, 0.258333, 1.225000, 0.122420
25-Oct-2020, 2.741667, 0.558333, 0.526611
26-Oct-2020, 1.450000, 0.800000, 0.413448
27-Oct-2020, 2.200000, 1.833333, 0.111710
28-Oct-2020, 1.941667, 0.791667, 0.095522
29-Oct-2020, 1.975000, 3.208333, 0.511526
30-Oct-2020, 0.808334, 1.491667, 0.368601
31-Oct-2020, 4.358333, 1.925000, 0.338554
01-Nov-2020, 0.958333, 3.841667, 0.543414
02-Nov-2020, 1.441667, 0.241667, 0.159520
03-Nov-2020, 1.458334, 1.841667, 0.318286
04-Nov-2020, 2.033334, 2.150000, 0.238989
05-Nov-2020, 1.383333, 1.866667, 0.331493
06-Nov-2020, 1.616667, 2.483333, 0.414123
07-Nov-2020, 1.025000, 0.225000, 0.016463
08-Nov-2020, 1.925000, 0.158333, 0.228985
09-Nov-2020, 2.125000, 0.791667, 0.156122
10-Nov-2020, 1.600000, 2.100000, 0.321649
11-Nov-2020, 1.891666, 2.025000, 0.211309
12-Nov-2020, 2.483333, 1.083333, 0.156540
13-Nov-2020, 1.333334, 1.233333, 0.511045
14-Nov-2020, 1.075000, 1.275000, 0.426560
15-Nov-2020, 1.983333, 0.433333, 0.203636
16-Nov-2020, 1.775000, 0.291667, 0.461442
17-Nov-2020, 1.408333, 4.191667, 0.884156
18-Nov-2020, 1.766667, 0.433334, 0.115234
19-Nov-2020, 0.675000, 4.825000, 1.160167
20-Nov-2020, 0.991666, 0.875000, 0.326586
21-Nov-2020, 0.766666, 2.750000, 0.647109
22-Nov-2020, 2.141667, 0.758333, 0.559521
23-Nov-2020, 1.850000, 3.200000, 1.309299
24-Nov-2020, NaN, NaN, NaN
25-Nov-2020, 1.433333, 0.516667, 0.329468
26-Nov-2020, 0.708333, 1.275000, 0.379946
27-Nov-2020, 0.733333, 0.716667, 0.187293
28-Nov-2020, NaN, NaN, NaN
29-Nov-2020, NaN, NaN, NaN
30-Nov-2020, NaN, NaN, NaN
